Leetcode_completed,Project_1_score,Project_2_score,Project_3_score,Total_full_stack_projects,Years_of_experience,No_of_certifications,CGPA,Non_IT_student,Communication_Level,Salary
50,2.05,3.11,6.74,10,1.0,4,8.34,0,expert,972853
316,7.26,5.14,1.33,1,1.0,0,9.27,1,exceptional,1015091
281,6.2,8.57,8.06,0,1.5,5,9.7,0,fluent,1199478
32,8.96,4.67,9.9,9,0.5,1,7.9,1,expert,1094931
137,8.47,3.6,3.77,2,1.0,4,6.19,1,beginner,790304
277,3.15,5.36,4.45,10,2.0,3,6.99,0,expert,1233014
204,2.76,7.17,0.46,4,0.5,0,8.79,0,exceptional,871474
231,9.82,4.44,0.14,0,0.5,1,8.25,1,fluent,837065
327,5.27,9.39,9.21,3,1.5,4,5.89,0,expert,1227902
151,9.06,2.95,1.29,7,0.5,1,5.26,0,beginner,829623
80,1.64,4.75,4.46,5,1.0,5,8.41,1,expert,879921
238,6.43,7.57,8.15,0,1.0,2,6.26,0,beginner,918114
38,8.1,6.89,8.89,0,2.0,3,7.5,1,fluent,890624
52,9.47,8.64,5.19,2,0.5,4,8.73,1,fluent,949261
102,3.37,9.97,5.65,9,0.5,4,7.81,0,expert,1082469
240,7.25,4.27,6.7,7,1.5,0,5.42,1,fluent,1057091
178,5.39,1.11,9.61,10,1.0,0,5.93,1,exceptional,1028575
38,0.61,0.3,6.03,10,2.0,0,6.1,0,expert,769206
211,6.9,7.27,5.59,7,1.0,1,6.29,1,beginner,1072322
336,6.9,8.74,0.15,2,0.5,3,7.83,0,expert,1025162
31,9.31,2.21,0.81,6,0.5,1,7.52,1,beginner,714550
27,4.97,1.58,5.77,2,2.0,3,6.02,1,fluent,678630
135,2.3,0.62,9.36,3,0.5,4,5.34,1,beginner,733503
262,0.45,8.23,8.67,8,2.0,1,5.86,1,beginner,1119331
263,4.16,3.11,9.83,3,2.0,1,9.92,1,beginner,1091794
298,3.02,4.02,5.28,2,1.0,1,7.34,1,beginner,905216
318,7.61,5.03,7.88,4,2.0,2,9.34,1,exceptional,1279406
251,3.54,8.39,8.4,6,0.5,5,9.24,0,beginner,1251851
39,9.49,6.51,6.48,4,1.5,3,7.56,1,expert,967880
216,9.62,6.15,3.39,3,1.5,3,8.53,0,exceptional,1131344
143,6.21,1.76,4.7,7,0.5,1,5.96,1,beginner,808556
52,9.29,5.13,8.58,3,1.5,2,8.44,1,beginner,955592
226,7.61,7.15,2.99,1,1.5,1,6.36,0,beginner,855456
63,5.47,9.73,9.24,9,2.0,3,9.16,0,exceptional,1269670
297,1.8,2.01,2.3,5,1.5,5,5.42,0,beginner,878845
255,4.59,0.1,7.5,1,1.5,5,8.87,1,beginner,960881
110,5.61,0.75,6.31,2,1.5,4,5.5,0,beginner,737176
150,8.64,3.76,7.5,0,1.0,2,9.41,1,fluent,965438
324,4.81,8.21,4.37,4,0.5,5,6.52,1,expert,1092056
49,8.98,0.07,9.33,8,2.0,2,8.27,0,beginner,1049715
169,6.74,4.57,6.32,1,1.5,1,7.44,1,expert,910150
37,1.37,3.29,2.88,6,0.5,4,6.83,0,fluent,689113
236,9.95,0.52,6.38,4,1.5,3,8.23,0,fluent,1063098
49,5.27,4.5,2.87,1,1.0,5,9.74,0,beginner,779375
92,3.92,2.55,2.94,7,1.0,5,5.21,0,expert,744549
91,6.59,3.52,4.0,10,1.5,0,9.59,1,exceptional,1062445
257,1.09,7.06,8.52,5,1.5,3,8.05,1,beginner,1067026
133,6.37,5.22,5.0,3,1.5,5,9.04,0,exceptional,1035346
170,4.98,1.25,6.79,3,1.0,5,6.92,0,fluent,895904
135,4.07,9.61,3.92,1,1.0,3,7.36,1,fluent,828243
252,9.53,6.36,2.64,2,0.5,4,9.34,1,expert,1062534
135,5.23,7.66,9.55,6,2.0,2,7.07,0,exceptional,1152323
58,2.19,0.79,6.04,2,2.0,3,7.67,1,exceptional,708103
135,4.59,0.47,9.34,4,1.0,2,5.1,1,beginner,766904
288,9.19,0.19,2.03,9,2.0,4,5.79,1,expert,1130387
260,1.76,1.89,1.47,5,1.5,4,8.21,1,expert,908649
107,2.14,4.14,8.56,5,0.5,1,8.58,0,exceptional,891101
66,0.13,9.36,6.81,3,1.0,0,7.91,1,fluent,781598
125,0.14,4.57,1.87,5,1.0,4,5.72,0,expert,681470
30,8.29,2.9,2.69,2,2.0,4,7.23,0,fluent,780852
204,7.32,5.62,8.01,6,1.5,2,6.78,0,beginner,1119337
306,3.55,1.12,4.54,6,0.5,4,7.48,1,expert,999391
344,6.98,6.1,6.71,3,2.0,3,9.35,1,expert,1305858
250,3.95,5.68,3.18,1,1.0,1,8.88,0,beginner,889538
339,9.53,7.92,3.81,10,1.0,1,5.42,1,expert,1288345
253,9.67,9.87,9.91,6,2.0,3,9.45,0,exceptional,1494643
313,3.93,2.51,2.48,2,1.5,5,7.36,0,exceptional,944989
174,8.54,5.1,5.06,0,0.5,4,8.72,1,beginner,932551
301,7.73,9.09,8.44,1,0.5,0,5.7,1,fluent,1024021
222,3.1,7.85,2.39,9,0.5,4,8.35,1,fluent,1125477
94,2.32,4.87,4.15,8,0.5,1,6.18,0,expert,784406
136,4.58,9.45,6.15,7,1.5,0,7.19,0,fluent,1055135
28,7.81,0.57,4.81,5,1.0,5,5.08,1,fluent,707718
342,9.6,9.31,4.6,5,1.0,2,5.76,0,beginner,1179398
119,7.64,0.51,3.63,0,0.5,2,5.46,0,fluent,619187
176,8.55,5.47,5.87,1,0.5,4,6.2,0,fluent,889509
335,6.03,8.9,6.24,3,0.5,4,5.5,1,fluent,1053167
161,8.35,2.63,6.53,2,2.0,0,8.46,1,exceptional,954651
271,7.84,4.72,0.7,0,2.0,0,5.15,1,exceptional,823673
267,3.77,3.24,6.31,7,1.0,5,8.09,0,beginner,1102474
55,5.52,9.52,9.53,6,1.0,4,5.7,1,expert,988238
64,8.05,8.24,5.41,3,0.5,1,9.73,0,beginner,949826
253,0.46,7.09,7.15,8,2.0,2,9.67,0,expert,1254659
60,8.08,5.88,5.57,10,1.5,5,6.13,0,expert,1079971
247,1.78,8.21,8.55,3,2.0,0,8.07,1,fluent,1068768
30,5.15,3.92,9.3,0,1.0,1,5.14,0,fluent,629856
346,8.08,4.48,1.84,9,2.0,4,9.66,1,beginner,1359642
244,2.54,7.3,4.37,0,1.0,3,7.61,0,beginner,819190
99,2.46,3.58,3.92,0,0.5,0,5.22,1,beginner,480648
28,4.03,0.64,4.05,0,1.5,5,6.71,1,exceptional,588655
158,8.95,0.74,1.26,3,0.5,3,5.38,1,exceptional,726836
142,0.0,1.15,8.14,0,0.5,1,6.96,1,exceptional,604825
118,9.01,8.7,0.36,1,1.5,2,8.35,1,exceptional,898791
86,1.54,4.72,5.28,3,1.5,1,7.35,1,exceptional,766516
218,9.9,7.13,6.62,6,1.5,2,6.92,1,fluent,1206451
227,9.55,3.93,2.07,1,1.0,1,5.6,1,expert,782979
50,4.95,2.59,9.06,7,0.5,0,6.22,0,exceptional,847210
197,5.13,3.47,8.39,6,1.0,0,5.5,0,beginner,948163
324,4.82,7.94,4.71,8,1.5,5,9.04,0,expert,1374796
157,6.35,6.25,4.11,5,1.0,3,5.68,0,exceptional,953111
350,0.91,9.38,2.37,3,1.5,1,7.98,0,exceptional,1051801
142,0.33,6.8,7.3,5,2.0,1,6.71,1,fluent,926748
348,0.58,5.7,1.32,3,1.5,3,6.13,1,fluent,879127
299,4.44,6.1,6.8,6,0.5,4,8.2,1,fluent,1165283
236,2.76,9.42,8.42,8,0.5,5,7.29,1,exceptional,1212138
249,6.22,7.88,2.28,2,0.5,1,7.0,1,fluent,885708
44,9.92,0.24,8.66,2,1.0,5,7.96,0,exceptional,857854
137,3.86,5.34,0.33,1,0.5,1,7.46,0,expert,625976
164,5.74,6.88,9.13,0,1.5,1,6.52,1,expert,921541
71,4.16,7.49,1.18,0,2.0,4,7.8,0,exceptional,737810
25,8.47,2.13,6.46,2,0.5,0,8.35,0,beginner,736440
114,9.02,8.67,2.5,6,1.0,5,5.13,1,exceptional,956170
166,8.77,9.56,8.37,10,2.0,3,7.33,1,expert,1346984
344,9.74,2.37,5.12,8,0.5,5,5.29,0,expert,1198283
62,0.28,8.83,1.35,1,0.5,4,5.93,0,exceptional,608930
317,8.4,0.97,5.71,6,2.0,2,7.8,1,exceptional,1182436
163,7.52,0.56,4.08,0,0.5,2,9.33,0,exceptional,829884
283,2.29,1.29,6.61,1,1.0,4,9.41,1,expert,943157
185,9.56,0.58,8.82,5,1.5,4,5.35,0,beginner,1021252
202,1.48,8.45,4.09,10,1.5,0,7.1,0,exceptional,1078490
34,6.8,0.59,2.9,4,2.0,5,7.92,1,expert,780523
285,2.25,2.72,0.15,7,1.5,5,5.74,0,exceptional,940272
162,4.31,1.04,5.75,10,0.5,2,8.83,1,expert,1033925
196,7.19,2.95,4.02,1,0.5,3,8.72,0,exceptional,879120
37,5.63,0.91,3.75,0,1.0,5,9.52,0,expert,710072
192,4.28,6.68,1.83,6,1.5,1,5.04,1,exceptional,905838
154,3.26,1.33,4.3,5,2.0,1,6.08,0,fluent,785365
108,8.4,8.52,9.84,7,0.5,0,9.14,1,exceptional,1149304
345,1.44,8.17,2.98,10,2.0,0,8.35,1,expert,1226625
343,4.3,0.14,6.0,7,0.5,2,9.47,0,exceptional,1193320
125,9.04,8.96,7.76,1,0.5,3,5.29,1,beginner,909844
297,8.46,0.29,7.49,7,1.0,3,7.98,1,exceptional,1181410
289,4.01,2.4,3.29,5,1.5,4,7.85,1,exceptional,1049881
62,7.63,0.32,6.11,8,1.0,0,5.18,0,exceptional,817923
118,8.23,3.36,8.71,6,1.5,5,7.57,1,beginner,1101819
119,8.89,5.14,0.15,1,2.0,1,8.05,1,beginner,780987
329,5.45,7.97,4.36,7,1.5,5,5.96,0,beginner,1185489
93,2.04,3.38,2.24,8,2.0,1,6.37,1,fluent,825364
342,2.55,7.05,3.89,6,0.5,2,8.2,1,beginner,1063717
260,2.96,1.88,4.16,3,2.0,1,7.34,1,fluent,879176
161,5.94,7.51,7.47,8,2.0,5,9.29,0,exceptional,1313260
100,0.33,2.36,0.94,3,0.5,5,6.71,0,fluent,609545
59,6.36,1.44,5.13,3,2.0,3,6.33,0,exceptional,782503
25,3.64,1.85,5.64,8,2.0,3,9.92,0,fluent,971305
320,2.95,1.82,4.94,7,0.5,0,9.56,0,beginner,1054297
344,8.79,5.13,7.32,3,0.5,5,5.14,0,beginner,1073304
84,4.6,8.45,3.84,7,0.5,2,8.85,1,fluent,971960
344,0.95,0.8,9.45,7,1.5,1,5.55,0,fluent,1055063
291,8.27,7.07,4.82,6,0.5,0,5.14,0,beginner,1030621
253,0.48,6.54,5.71,9,0.5,4,6.37,0,exceptional,1105107
294,7.27,8.73,8.26,5,2.0,4,6.35,0,exceptional,1307023
340,7.74,2.44,2.75,7,1.0,1,9.1,1,exceptional,1191648
310,3.53,4.5,0.75,6,1.0,1,8.55,1,exceptional,1021464
315,8.25,9.26,7.08,4,1.5,1,9.91,0,expert,1337076
237,5.16,6.6,4.83,3,1.5,3,8.56,1,exceptional,1104699
189,4.63,3.89,8.97,1,1.0,1,7.09,0,expert,892507
29,0.45,1.31,9.83,10,1.0,4,8.49,1,expert,953032
102,2.9,2.62,3.99,7,0.5,1,10.0,0,beginner,915197
86,9.31,5.81,4.15,8,2.0,5,8.55,0,beginner,1166839
156,3.92,7.18,4.08,3,0.5,2,8.81,0,fluent,876464
113,5.47,1.24,3.25,3,1.5,4,9.69,0,exceptional,884705
261,5.32,6.0,7.82,4,1.0,2,5.57,1,exceptional,1033519
66,5.9,5.5,7.59,1,1.5,4,8.52,0,beginner,920333
113,0.61,5.14,4.79,6,0.5,0,9.25,1,beginner,877495
320,3.62,6.9,0.45,4,1.5,5,9.77,1,beginner,1118326
319,7.23,8.37,3.1,5,1.5,4,6.05,1,fluent,1158569
128,2.01,3.23,2.92,3,2.0,5,7.52,0,exceptional,816320
38,2.04,8.89,8.11,7,1.5,4,8.4,1,fluent,1013822
312,0.1,1.61,0.88,7,0.5,2,6.24,1,expert,796171
203,4.37,1.73,8.06,4,2.0,2,8.0,1,expert,1007314
149,8.83,2.67,6.69,5,1.5,4,6.29,0,exceptional,1037398
47,0.52,1.2,7.32,2,0.5,4,6.67,1,beginner,598501
87,1.91,2.3,4.32,0,1.0,3,7.21,0,beginner,595602
167,3.1,1.06,6.8,8,2.0,5,7.65,1,fluent,1063102
177,7.32,8.22,6.09,8,1.5,5,7.25,1,expert,1281201
169,6.41,1.39,7.69,2,1.5,5,7.47,0,expert,926974
249,4.16,7.47,4.47,3,2.0,5,6.49,0,exceptional,1007712
333,7.59,0.48,4.73,6,0.5,0,5.79,1,expert,977169
128,6.1,9.49,6.44,1,1.5,0,5.24,0,beginner,846576
128,8.96,7.11,1.08,2,0.5,1,5.98,1,beginner,714795
63,8.18,0.07,4.36,5,2.0,4,7.91,1,beginner,887756
222,2.53,7.64,9.72,10,1.5,4,8.93,0,exceptional,1500000
158,2.71,5.14,0.38,7,1.0,4,5.85,0,fluent,834907
91,1.25,7.79,3.16,0,1.0,4,5.54,0,expert,618983
203,3.37,5.22,3.14,3,1.0,5,8.75,1,exceptional,938308
66,10.0,6.41,6.33,0,2.0,5,6.53,1,fluent,873241
39,4.06,7.86,1.06,1,1.5,0,9.76,1,exceptional,772257
135,2.2,4.05,6.29,7,2.0,2,8.57,0,expert,1008398
181,7.62,0.03,0.95,5,1.5,3,6.63,0,beginner,835091
313,5.42,8.5,0.95,8,1.0,5,6.45,0,fluent,1169159
255,1.5,3.81,7.28,1,1.0,5,7.62,1,fluent,880890
181,3.81,4.96,3.24,2,0.5,5,5.4,0,exceptional,773022
62,4.14,0.08,9.77,8,2.0,2,5.59,0,exceptional,908088
121,7.54,4.92,0.37,8,2.0,2,5.88,1,beginner,931660
313,0.21,9.86,4.45,5,0.5,0,8.87,0,exceptional,1121942
278,2.69,2.78,1.13,2,1.0,5,7.57,0,expert,837546
220,5.18,3.95,3.51,4,1.0,3,5.05,1,expert,847860
110,2.69,6.87,9.98,1,2.0,4,8.37,1,expert,925975
346,6.28,8.15,8.89,6,1.5,5,7.12,1,expert,1370485
34,4.82,4.17,0.48,9,1.0,0,7.55,1,beginner,801270
29,3.62,3.1,5.63,10,0.5,0,6.07,1,beginner,724363
147,9.49,9.38,6.48,7,0.5,3,7.76,1,beginner,1153198
142,6.32,6.77,2.1,5,0.5,1,9.9,0,exceptional,977375
318,1.3,1.19,1.45,7,2.0,0,5.37,0,beginner,854726
183,5.6,0.69,9.04,1,2.0,2,6.42,1,fluent,836261
327,7.81,4.84,9.69,2,2.0,2,6.21,1,fluent,1137931
252,7.08,2.2,9.92,6,2.0,4,6.24,0,fluent,1180874
240,1.72,2.54,7.9,9,0.5,0,6.89,1,exceptional,1000490
208,9.72,8.78,6.64,0,0.5,4,9.09,1,exceptional,1087762
39,4.49,0.9,3.46,6,2.0,0,9.56,0,beginner,816394
181,1.59,7.15,1.71,5,2.0,3,6.01,0,expert,879202
160,1.8,2.71,0.79,7,0.5,5,7.71,1,fluent,824339
285,0.98,7.6,6.93,6,2.0,0,8.18,1,exceptional,1135975
181,8.04,7.22,7.85,3,2.0,1,7.61,0,fluent,1098736
71,1.22,0.07,8.26,2,2.0,2,7.17,1,beginner,703492
348,1.25,5.09,9.14,2,2.0,3,5.96,0,exceptional,1035956
197,8.5,1.39,8.8,3,1.0,5,7.44,0,expert,1044019
154,3.45,8.66,10.0,8,2.0,5,7.01,1,expert,1243288
119,0.31,8.72,2.44,8,0.5,2,8.98,0,exceptional,958780
139,0.52,4.18,7.63,1,0.5,5,8.82,0,expert,854931
267,1.42,4.44,5.86,4,0.5,4,5.67,0,beginner,871416
316,2.13,3.03,2.61,0,0.5,3,5.44,1,expert,693456
306,6.65,7.17,9.82,3,2.0,1,9.54,1,fluent,1259530
323,1.57,3.59,8.98,1,1.0,2,7.68,1,fluent,973996
307,1.19,2.68,1.29,7,1.5,0,9.29,0,fluent,1023484
93,7.65,4.32,0.26,3,1.5,0,5.29,0,exceptional,723602
172,6.71,0.91,6.88,4,1.5,0,7.63,1,exceptional,932790
35,4.35,7.47,6.04,10,1.5,3,7.7,0,exceptional,1077664
278,5.49,0.13,9.36,3,0.5,1,9.3,0,exceptional,1500000
62,3.12,6.44,2.34,4,2.0,5,5.49,1,exceptional,780002
158,4.83,1.83,0.84,4,2.0,1,6.2,0,beginner,730313
224,5.07,2.32,2.59,4,1.5,1,7.03,0,exceptional,872707
47,3.87,6.36,0.19,10,1.5,2,9.33,0,expert,953033
327,9.07,9.93,0.36,2,1.0,3,9.69,0,beginner,1166510
326,0.16,7.78,9.15,6,1.0,0,9.96,0,exceptional,1247170
242,7.82,2.26,3.52,2,1.0,2,9.8,0,expert,945200
165,1.24,1.76,4.11,1,0.5,5,5.03,1,beginner,571541
128,7.98,8.66,0.18,2,2.0,1,5.24,1,fluent,810710
234,6.16,4.44,2.71,10,0.5,0,5.74,0,beginner,1015503
135,8.43,1.37,8.05,2,0.5,3,6.74,1,exceptional,841472
128,0.98,8.62,6.15,7,2.0,4,9.15,1,beginner,1086289
340,5.59,8.16,7.54,3,1.0,1,9.46,1,beginner,1197864
195,5.01,9.84,4.47,2,2.0,1,5.93,0,fluent,928624
348,7.06,9.1,3.1,9,1.5,1,8.1,1,beginner,1347693
157,5.34,8.52,4.83,4,1.0,1,9.59,0,beginner,1063772
317,5.41,0.53,3.23,3,2.0,0,7.32,1,fluent,886560
151,4.3,1.04,8.39,8,0.5,3,5.52,1,exceptional,897613
130,3.09,5.69,2.98,7,2.0,2,7.29,0,expert,915116
116,4.82,5.31,6.6,10,1.0,0,6.88,1,beginner,998560
311,1.18,4.58,1.37,6,1.5,3,7.89,0,fluent,1002149
75,9.62,3.97,6.87,7,0.5,2,7.19,1,beginner,969104
53,7.14,4.31,9.13,4,1.5,1,5.09,1,exceptional,852501
320,9.52,5.69,6.09,3,1.5,3,9.97,1,exceptional,1304974
321,2.27,0.02,5.6,6,0.5,1,7.72,1,fluent,910689
238,8.79,2.61,9.61,0,2.0,3,7.37,0,expert,1048419
291,8.09,5.18,6.27,5,2.0,5,9.77,0,expert,1300847
281,6.77,7.22,2.6,7,1.5,4,5.78,1,beginner,1141867
326,6.25,1.74,2.92,6,2.0,1,5.95,0,fluent,1012455
125,3.17,5.47,7.05,1,1.0,1,9.04,1,expert,818777
134,8.16,7.14,7.35,6,1.5,1,6.3,0,exceptional,1058083
206,5.02,4.45,3.03,5,1.5,5,9.0,0,expert,1070263
337,0.71,0.27,3.45,4,1.5,0,6.36,0,fluent,841309
25,3.13,4.49,9.91,3,1.0,2,5.17,1,exceptional,745226
343,9.35,2.96,1.02,0,1.5,1,7.59,0,beginner,940668
79,8.51,9.3,4.05,1,2.0,1,5.98,0,exceptional,863280
173,9.82,1.25,0.62,6,2.0,0,8.79,1,expert,996234
333,6.28,6.52,8.21,9,2.0,0,8.21,1,expert,1389892
161,2.48,0.53,0.92,2,2.0,4,9.62,1,expert,799826
226,1.63,4.46,6.74,4,1.5,3,8.91,0,beginner,1027918
337,1.87,5.54,0.56,7,1.0,1,5.9,0,expert,950293
141,0.2,2.98,6.73,7,0.5,3,9.0,0,fluent,925573
178,3.91,4.55,8.43,5,2.0,0,8.21,0,beginner,985568
315,1.91,1.64,3.99,4,0.5,0,8.34,0,exceptional,939731
87,4.12,3.04,5.22,1,0.5,4,9.16,0,expert,770062
268,9.35,6.21,4.02,8,1.5,2,7.87,1,fluent,1268987
49,4.31,3.02,3.0,0,2.0,5,7.33,0,fluent,669270
114,8.78,9.0,8.03,10,2.0,5,8.18,0,beginner,1354926
99,6.06,6.28,2.72,1,2.0,5,6.49,0,fluent,818007
318,2.47,4.39,7.23,0,0.5,0,5.91,1,beginner,782357
234,3.56,0.39,2.06,3,2.0,1,8.08,0,beginner,833755
41,0.84,5.0,2.5,3,2.0,4,6.17,1,beginner,670535
152,3.33,7.65,3.36,4,1.0,2,5.4,0,exceptional,862249
275,6.78,2.66,5.89,4,1.5,5,5.0,1,exceptional,1019521
203,0.72,8.07,4.54,7,2.0,4,8.04,1,fluent,1065947
206,2.05,2.52,7.45,10,2.0,0,6.81,1,exceptional,1040666
176,3.81,8.24,2.14,10,1.5,5,8.76,0,beginner,1207375
49,9.82,0.85,0.11,2,1.5,2,6.88,1,beginner,625241
204,7.85,8.66,7.77,5,0.5,3,7.43,0,exceptional,1174591
222,7.33,4.99,8.22,2,0.5,2,7.04,1,fluent,967085
185,1.16,2.97,0.59,1,0.5,1,8.25,0,beginner,656868
201,7.81,2.65,6.11,7,1.5,5,6.78,1,exceptional,1121717
309,7.85,4.32,3.78,0,1.0,5,9.82,1,expert,1084384
87,6.01,9.99,7.94,8,2.0,3,9.68,0,fluent,1309586
174,9.9,2.2,8.74,10,1.5,3,9.24,1,fluent,1315736
178,3.25,1.03,8.51,6,1.0,5,9.6,0,fluent,1074148
180,9.41,5.85,7.77,9,1.5,1,7.25,1,expert,1209488
73,9.15,4.89,2.69,10,1.0,3,7.68,1,beginner,1008637
108,0.11,5.24,8.12,3,1.5,0,8.71,0,fluent,836528
201,4.5,6.67,5.33,2,1.5,5,8.48,0,exceptional,1011515
172,9.77,2.67,0.53,5,1.0,2,9.45,0,fluent,977047
142,1.03,9.11,4.57,8,1.0,2,8.58,1,exceptional,1066288
87,5.48,4.36,9.42,8,1.0,1,9.99,0,fluent,1134206
213,9.79,1.29,8.88,3,1.0,0,6.74,0,exceptional,978936
73,5.55,7.42,1.02,9,1.0,3,9.16,1,exceptional,1094487
281,1.9,6.43,7.44,4,1.0,5,8.49,0,exceptional,1163125
248,5.82,3.16,8.06,10,1.0,2,8.46,0,expert,1247918
165,2.04,6.22,2.71,8,1.0,2,6.63,1,expert,939724
239,5.2,2.2,4.72,1,1.5,2,8.93,1,expert,909121
235,0.74,4.45,7.11,1,1.0,2,9.5,1,beginner,904228
342,6.05,8.99,4.39,4,1.0,4,6.09,1,exceptional,1143040
56,5.17,1.34,1.13,0,1.5,1,8.13,1,beginner,543865
182,7.4,3.87,7.06,7,1.5,3,6.96,0,expert,1115874
309,6.31,8.21,9.12,4,0.5,5,9.95,1,exceptional,1336742
329,5.5,9.69,6.52,9,0.5,5,7.39,1,beginner,1337272
310,6.9,4.54,7.74,1,1.0,5,6.14,1,expert,1035225
168,1.44,5.07,3.58,8,1.0,3,6.91,0,beginner,900459
43,5.95,5.72,1.83,1,0.5,1,8.27,0,beginner,695080
42,1.72,9.32,6.43,6,0.5,0,5.38,0,expert,780673
281,9.26,8.58,3.28,7,2.0,1,8.02,0,exceptional,1292787
102,0.68,1.71,8.6,5,2.0,2,9.66,1,fluent,898916
199,4.3,4.37,1.23,10,1.0,2,9.25,1,fluent,1104668
218,6.96,4.64,4.33,6,2.0,1,5.34,1,beginner,988286
137,4.58,7.89,3.97,10,0.5,1,9.97,0,beginner,1131583
138,0.92,6.03,9.38,0,1.0,3,8.49,1,beginner,804968
246,5.53,6.54,1.53,3,1.5,3,5.81,0,exceptional,960377
190,6.42,9.98,0.1,6,1.5,4,5.06,0,beginner,964742
343,7.04,0.75,2.38,0,0.5,5,5.86,0,beginner,809206
156,3.73,2.23,8.2,0,2.0,4,9.19,1,beginner,894161
288,5.64,4.08,2.09,10,1.5,5,5.11,1,expert,1123791
79,4.51,3.48,2.41,5,2.0,2,6.17,1,fluent,755344
155,6.72,0.22,1.3,3,1.5,4,8.79,1,fluent,769775
312,5.84,0.92,7.15,2,2.0,4,7.93,0,expert,1081974
290,5.26,6.81,0.69,4,1.5,0,8.91,1,exceptional,1066049
186,2.5,8.79,3.31,8,1.5,1,8.73,0,exceptional,1097131
111,0.02,5.14,2.82,9,1.0,3,5.25,0,exceptional,848887
79,1.74,5.39,5.55,9,1.0,4,9.46,0,expert,1059752
312,1.17,2.55,7.3,10,0.5,3,6.14,0,fluent,1096470
202,4.49,7.68,5.33,9,1.5,5,7.77,0,fluent,1195416
32,6.12,7.52,9.31,2,2.0,4,8.22,0,beginner,979905
345,2.13,5.88,9.51,4,1.5,5,5.84,0,fluent,1142849
337,9.39,2.13,3.61,9,2.0,4,9.88,1,exceptional,1397234
271,0.07,0.97,7.78,4,2.0,2,7.44,1,exceptional,968495
347,7.72,0.64,7.39,8,1.5,0,5.29,0,beginner,1109073
279,6.25,5.93,8.93,10,2.0,5,9.69,1,beginner,1459268
78,3.74,8.25,4.48,9,0.5,1,7.93,1,fluent,956039
273,0.5,8.58,5.3,10,1.0,1,8.5,1,beginner,1171183
263,6.27,4.64,4.16,3,2.0,2,7.63,1,beginner,1009299
253,3.86,7.84,8.5,0,1.5,2,9.17,0,expert,1074595
91,9.36,9.47,2.3,9,1.0,1,5.17,1,fluent,984590
75,5.42,2.75,2.4,4,0.5,5,6.34,0,exceptional,754492
121,9.4,3.98,3.73,0,2.0,1,7.35,0,expert,863567
116,2.2,9.31,2.3,5,2.0,0,5.38,1,exceptional,793756
288,7.26,3.38,5.61,9,1.0,4,8.53,1,beginner,1275244
315,6.17,9.14,1.34,9,2.0,0,6.97,0,beginner,1233004
120,7.39,9.81,3.2,6,1.5,1,6.36,0,exceptional,997108
112,2.15,6.62,9.13,0,1.0,4,5.02,1,expert,730176
102,6.65,8.17,4.09,9,1.0,1,8.6,1,expert,1103459
312,4.98,7.5,7.48,3,2.0,0,9.17,0,expert,1178018
144,7.43,7.0,1.13,8,0.5,0,6.98,1,beginner,924510
326,3.27,3.07,2.48,0,0.5,5,7.82,0,fluent,875507
189,8.9,0.57,8.07,8,0.5,5,6.14,0,beginner,1041106
206,0.84,3.43,7.63,7,0.5,0,8.11,0,exceptional,938625
247,8.07,6.67,3.86,4,1.0,4,5.06,0,expert,1008448
335,8.61,1.03,9.54,5,1.0,5,7.44,1,fluent,1258337
31,8.17,0.12,9.11,6,2.0,5,8.22,0,expert,1001087
287,5.13,1.4,9.62,3,0.5,3,9.59,0,beginner,1069156
185,4.38,7.16,4.28,5,0.5,3,6.91,1,fluent,930249
175,9.96,9.73,1.97,6,2.0,5,8.83,1,fluent,1269608
109,2.29,9.83,6.27,10,2.0,1,7.99,0,beginner,1104992
171,5.47,4.94,6.85,5,2.0,4,9.64,1,expert,1163358
136,6.71,8.69,1.25,10,1.5,2,6.99,1,expert,1083018
60,7.01,7.37,7.86,5,2.0,5,6.6,0,expert,1037232
309,2.04,5.01,0.18,1,2.0,3,9.44,1,beginner,912529
212,6.54,5.73,4.83,4,1.5,4,5.25,1,exceptional,968585
106,8.18,1.37,3.31,2,0.5,4,5.68,1,exceptional,683375
26,0.5,9.38,7.4,6,1.0,3,5.41,1,expert,804349
327,9.12,3.52,3.13,3,0.5,4,9.22,1,fluent,1064688
221,0.3,4.46,8.27,0,1.0,4,5.05,0,exceptional,733388
35,3.56,6.72,5.95,5,1.0,3,9.31,1,expert,930689
258,0.16,3.34,7.94,5,2.0,0,7.26,0,exceptional,1016173
219,0.77,2.54,9.89,6,2.0,5,5.02,0,expert,1057051
143,9.11,6.31,6.79,10,1.5,1,7.01,1,exceptional,1219688
44,3.55,0.25,9.85,7,0.5,2,5.93,1,exceptional,772655
285,4.25,7.21,0.29,2,0.5,1,8.12,1,fluent,844022
317,2.15,5.14,3.38,5,1.0,0,8.4,1,fluent,1010500
280,5.97,6.06,1.08,9,2.0,0,7.44,1,exceptional,1126544
246,5.95,6.32,2.62,1,2.0,4,5.2,1,expert,874229
250,3.72,5.27,8.39,8,0.5,1,8.28,1,fluent,1153280
77,3.33,5.83,0.32,1,1.5,0,9.21,1,beginner,684653
304,8.85,6.84,5.2,2,2.0,1,8.6,1,fluent,1147507
105,3.83,7.53,5.67,9,1.5,0,9.15,1,exceptional,1070712
